OTUs,DISEASE_1,DISEASE_2,DISEASE_3,DISEASE_4,HEALTHY_1,HEALTHY_2,HEALTHY_3,HEALTHY_4,BLANK_1,BLANK_2,BLANK_3,BLANK_4
OTU1840,0,0,0,0,34,0,0,0,0,0,0,0
OTU1847,0,30,0,0,0,0,0,0,0,0,0,0
OTU1852,0,0,0,24,0,0,4,0,0,0,0,0
OTU1853,0,0,0,0,81,0,0,0,0,0,0,0
OTU1863,13,0,0,36,0,0,0,0,0,0,0,0
OTU1872,0,0,0,0,0,33,0,0,0,0,0,0
OTU1875,0,0,0,0,0,93,0,106,0,0,0,0
OTU1877,0,0,0,0,0,17,0,0,0,80,0,0
OTU1878,0,83,0,0,0,261,0,0,252,0,0,0
OTU1886,0,0,0,36,0,0,0,0,0,0,0,91
OTU1887,0,44,0,0,28,0,0,0,0,0,22,0
OTU189,0,0,0,0,0,0,0,0,0,85,0,0
OTU1892,0,0,0,0,0,0,0,222,0,0,0,0
OTU1894,0,0,3,0,0,0,35,0,27,0,0,0
OTU1896,0,0,0,0,0,155,0,0,0,0,0,0
OTU1897,0,50,0,74,150,1646,137,0,957,48,0,0
OTU1899,0,0,0,0,0,0,0,0,0,0,0,81
OTU1903,0,18,0,22,0,0,0,0,0,0,0,0
OTU1905,0,0,0,0,0,450,194,0,273,0,0,0
OTU1908,0,0,0,0,0,14,0,0,0,1343,146,0
OTU1909,0,0,0,0,0,62,0,0,0,0,0,0
OTU1914,9,0,0,63,0,68,0,278,1,43,68,21
OTU1916,0,0,0,0,0,0,0,0,60,0,0,0
OTU1918,0,0,0,23,0,0,69,0,0,0,0,22
OTU1922,0,12,0,20,0,75,111,0,0,0,0,0
OTU1930,0,0,0,5,0,0,0,0,0,0,0,68
OTU1956,0,3,12,0,2,0,3,9,3,0,0,0
OTU1982,0,25,0,50,0,0,161,0,35,0,0,0
OTU1983,2,0,21,0,39,96,0,31,0,0,0,52
OTU1999,0,0,0,0,0,0,72,0,0,0,0,0
OTU2006,0,0,0,0,0,0,0,0,0,0,0,60
OTU2007,0,0,0,26,0,0,0,99,0,0,0,0
OTU2015,0,0,0,0,0,0,0,0,0,67,0,0
OTU2020,42,16,16,0,0,0,56,89,0,0,0,46
OTU2022,0,0,0,0,0,0,0,0,0,0,41,0
OTU2023,27,36,20,0,0,94,130,0,0,0,0,0
OTU2027,57,11,34,76,14,41,0,0,246,168,0,195
OTU2028,29,2,0,0,25,0,96,3,0,0,0,0
OTU2031,0,74,0,7,0,74,100,3,0,0,0,0
OTU2040,9,0,0,28,25,0,0,0,49,0,0,0
OTU2041,0,0,0,0,0,69,0,2,22,39,0,13
OTU2042,39,20,74,107,16,0,15,9,0,36,0,0
OTU2043,0,0,23,31807,0,0,0,0,0,0,0,0
OTU2045,0,38,0,0,0,0,0,0,0,0,0,0
OTU2048,0,0,4,0,0,0,0,0,0,50,0,3
OTU2053,0,21,0,33,0,163,0,0,0,0,0,0
OTU2055,165,0,0,216,0,0,0,0,0,0,0,0
OTU2056,0,0,0,28,0,0,0,0,0,0,0,0
OTU2062,29,0,0,0,0,0,0,0,0,0,0,0
OTU2091,0,35,95,33,28,24,44,21,0,18,0,0
OTU2102,33,0,0,0,0,0,0,0,0,0,0,0
OTU2118,0,0,0,0,0,106,0,0,0,0,20,0
OTU2132,0,0,0,0,48,0,0,0,0,0,0,0
OTU2138,0,37,0,0,0,0,0,0,0,0,0,0
OTU2141,0,0,0,0,0,0,39,0,0,0,0,0
OTU2146,0,11,0,0,0,31,0,0,0,0,0,0
OTU2148,0,0,0,0,0,224,0,0,0,0,0,0
OTU2157,173,0,0,89,0,0,0,0,0,0,0,0
OTU216,0,0,0,14,0,0,0,0,16,0,0,0
OTU2164,0,0,15,0,0,18,0,0,0,0,0,0
OTU2165,0,0,0,0,0,0,0,0,0,0,3,43
OTU2166,0,39,0,0,0,0,0,0,0,0,0,0
OTU2169,50,0,0,0,0,0,0,0,0,0,0,0
OTU2174,54,0,0,0,0,0,0,0,0,0,0,0
OTU2185,0,0,0,4,0,0,21,0,0,0,0,0
OTU222,0,0,0,26,0,0,0,0,0,0,0,0
OTU2236,0,25,0,0,0,0,0,0,0,0,0,0
OTU2271,0,0,0,0,0,0,0,0,27,0,0,0
OTU2273,0,0,0,0,0,0,0,0,0,0,0,39
OTU2283,0,0,0,0,0,0,0,0,0,0,0,108
OTU2287,0,0,0,75,0,0,0,0,0,0,0,0
OTU2294,0,0,0,0,0,0,0,0,0,0,0,74
OTU231,0,0,0,71,0,0,0,0,0,0,0,0
OTU2323,0,0,0,0,0,0,0,0,0,0,0,68
OTU2335,48,0,0,0,0,0,0,0,0,0,0,0
OTU2342,0,0,0,0,0,43,0,0,0,0,0,0
OTU236,646,0,0,0,0,0,0,0,0,5,3,158
OTU241,197,14,78,0,0,38,0,0,0,0,0,268
OTU2412,0,0,0,0,0,34,0,0,46,0,0,0
OTU242,0,24,0,0,26,4,32,47,0,0,0,194
OTU2470,0,0,0,0,0,0,0,0,0,0,0,90
OTU249,0,0,0,0,0,0,58,0,0,0,0,0
OTU251,0,0,0,0,0,19,0,0,15,0,0,0
OTU252,0,29,46,12,4,9,6,0,4,0,5,94
OTU2529,0,0,0,0,0,0,0,0,0,0,0,36
OTU2535,3,0,0,0,0,0,0,0,0,0,0,48
OTU255,5,0,0,71,62,64,91,0,0,0,34,112
